,Matrix
73,"[[-0.65932769 -0.67238896  0.3364225 ]
 [ 0.42357505 -0.70187705 -0.57267164]
 [ 0.62118532 -0.23507811  0.74757422]]"
74,"[[-0.65909393 -0.67080614  0.34002114]
 [ 0.42070679 -0.7036244  -0.57264172]
 [ 0.62337873 -0.23437551  0.74596742]]"
75,"[[-0.65941753 -0.66877094  0.34338598]
 [ 0.41753397 -0.70564052 -0.57248303]
 [ 0.62516708 -0.23413002  0.74454626]]"
76,"[[-0.65898448 -0.66749878  0.34667673]
 [ 0.41533923 -0.70719986 -0.57215524]
 [ 0.62708269 -0.23305294  0.74327199]]"
77,"[[-0.65926104 -0.66631762  0.34841879]
 [ 0.41350776 -0.70829499 -0.57212716]
 [ 0.62800171 -0.23310724  0.74247867]]"
78,"[[-0.6590073  -0.66480468  0.35177295]
 [ 0.41103172 -0.71000421 -0.57179281]
 [ 0.62989078 -0.23222584  0.74115398]]"
79,"[[-0.65883311 -0.66315895  0.35518879]
 [ 0.40803107 -0.71166659 -0.57187521]
 [ 0.63202018 -0.23184223  0.73945882]]"
80,"[[-0.65891657 -0.66113005  0.35879803]
 [ 0.40513724 -0.71380793 -0.57126357]
 [ 0.63379238 -0.23105259  0.7381883 ]]"
81,"[[-0.6584406  -0.65979557  0.36211297]
 [ 0.40243432 -0.71521488 -0.5714143 ]
 [ 0.6360052  -0.2305157   0.73645095]]"
82,"[[-0.65858195 -0.65853739  0.36414061]
 [ 0.400658   -0.71647084 -0.57108911]
 [ 0.63697963 -0.23021317  0.73570321]]"
83,"[[-0.65842472 -0.65678119  0.36758047]
 [ 0.39779358 -0.71826765 -0.57083437]
 [ 0.63893442 -0.22963032  0.73418861]]"
84,"[[-0.65773088 -0.65549195  0.37110689]
 [ 0.39545271 -0.7198055  -0.57052357]
 [ 0.64109842 -0.22849572  0.73265423]]"
85,"[[-0.65793202 -0.65320998  0.37475609]
 [ 0.39213695 -0.72200664 -0.57003068]
 [ 0.64292614 -0.2280857   0.73117893]]"
86,"[[-0.65768632 -0.65248698  0.37644312]
 [ 0.3909418  -0.72281253 -0.56983028]
 [ 0.64390465 -0.22760223  0.73046833]]"
87,"[[-0.65785331 -0.65034744  0.37983847]
 [ 0.38791782 -0.72487996 -0.56927044]
 [ 0.64556086 -0.22715035  0.72914611]]"
88,"[[-0.65732304 -0.64878937  0.38340427]
 [ 0.38549875 -0.72663229 -0.56867942]
 [ 0.64754706 -0.22600425  0.72773979]]"
89,"[[-0.65692542 -0.64698399  0.38711847]
 [ 0.38239474 -0.72842082 -0.56848691]
 [ 0.64978709 -0.22542144  0.72592145]]"
90,"[[-0.65680674 -0.64506291  0.39051084]
 [ 0.37930103 -0.73021818 -0.56825358]
 [ 0.65171743 -0.22511161  0.7242852 ]]"
91,"[[-0.65658148 -0.64410488  0.39246615]
 [ 0.37798813 -0.73126838 -0.56777772]
 [ 0.65270648 -0.22444479  0.72360129]]"
92,"[[-0.65630556 -0.64231912  0.39583985]
 [ 0.37526176 -0.73304113 -0.56730004]
 [ 0.65455455 -0.22377863  0.72213685]]"
93,"[[-0.655496   -0.64097271  0.39934812]
 [ 0.372794   -0.73451459 -0.56702108]
 [ 0.65677208 -0.22280544  0.720422  ]]"
94,"[[-0.65512816 -0.63894091  0.40318941]
 [ 0.36958013 -0.73647343 -0.56658404]
 [ 0.65895197 -0.22217441  0.71862456]]"
95,"[[-0.65508455 -0.63697226  0.40636263]
 [ 0.36660011 -0.73824571 -0.56621342]
 [ 0.66065771 -0.22194509  0.71712749]]"
96,"[[-0.65450259 -0.63653483  0.40798258]
 [ 0.36564522 -0.7388051  -0.56610123]
 [ 0.66176276 -0.22133785  0.71629581]]"
97,"[[-0.6542483  -0.63448394  0.4115693 ]
 [ 0.362358   -0.74065781 -0.56579385]
 [ 0.66381914 -0.22103423  0.71448443]]"
98,"[[-0.6537263  -0.63311365  0.41449855]
 [ 0.36003045 -0.7419989  -0.56552252]
 [ 0.66559749 -0.22046485  0.71300442]]"
99,"[[-0.65338705 -0.63143441  0.41758344]
 [ 0.35740651 -0.74356594 -0.56512854]
 [ 0.66734243 -0.22000062  0.71151508]]"
100,"[[-0.65311387 -0.6295004   0.42091744]
 [ 0.35436455 -0.74529243 -0.56476981]
 [ 0.66922941 -0.21970075  0.70983334]]"
101,"[[-0.6528114  -0.62879289  0.42244138]
 [ 0.35343376 -0.74606735 -0.56432973]
 [ 0.67001626 -0.2190958   0.70927775]]"
102,"[[-0.65280403 -0.62655468  0.42576552]
 [ 0.35013295 -0.7479699  -0.56386882]
 [ 0.67175439 -0.21902137  0.70765557]]"
103,"[[-0.65160517 -0.62568354  0.42887155]
 [ 0.34817387 -0.74899665 -0.56371888]
 [ 0.67393298 -0.21800027  0.70589677]]"
104,"[[-0.65131665 -0.62379599  0.43204762]
 [ 0.34534025 -0.75067471 -0.56322958]
 [ 0.67566759 -0.21763736  0.70434872]]"
105,"[[-0.65103951 -0.62180411  0.43532427]
 [ 0.34254391 -0.75247706 -0.56253172]
 [ 0.67735606 -0.21711271  0.70288753]]"
106,"[[-0.65031063 -0.62153207  0.43679963]
 [ 0.34163187 -0.75283704 -0.56260468]
 [ 0.67851581 -0.21664311  0.70191299]]"
107,"[[-0.65017078 -0.61962546  0.43970686]
 [ 0.33868917 -0.75440267 -0.56228655]
 [ 0.68012314 -0.21665827  0.70035071]]"
108,"[[-0.64880776 -0.61841108  0.44341425]
 [ 0.3363588  -0.75575978 -0.56186288]
 [ 0.68257689 -0.21539469  0.69835074]]"
109,"[[-0.64791909 -0.61701469  0.44664712]
 [ 0.33392326 -0.75710886 -0.56149923]
 [ 0.68461379 -0.21466018  0.69658069]]"
110,"[[-0.64792768 -0.61452237  0.45005766]
 [ 0.33048182 -0.75914717 -0.56078274]
 [ 0.68627357 -0.21461074  0.69496075]]"
111,"[[-0.64665892 -0.61335738  0.45345885]
 [ 0.32823892 -0.76038469 -0.56042333]
 [ 0.68854296 -0.21355988  0.6930372 ]]"
112,"[[-0.64650554 -0.61208205  0.45539665]
 [ 0.32628587 -0.76141045 -0.56017107]
 [ 0.68961444 -0.21356418  0.69196971]]"
113,"[[-0.64501442 -0.61115939  0.45873822]
 [ 0.32415757 -0.76244829 -0.55999516]
 [ 0.69201042 -0.21250156  0.68990244]]"
114,"[[-0.6447183  -0.60873032  0.4623697 ]
 [ 0.32103886 -0.76455397 -0.55891976]
 [ 0.69373798 -0.21190717  0.68834808]]"
115,"[[-0.64433412 -0.60641659  0.4659318 ]
 [ 0.31791011 -0.76652531 -0.55800726]
 [ 0.69553338 -0.21141867  0.68668432]]"
116,"[[-0.64310632 -0.60515885  0.46925152]
 [ 0.31565681 -0.76778682 -0.55755192]
 [ 0.69769263 -0.21044271  0.68479098]]"
117,"[[-0.64302695 -0.60402307  0.47082111]
 [ 0.31426931 -0.76874374 -0.55701696]
 [ 0.69839186 -0.21021231  0.68414896]]"
118,"[[-0.64208748 -0.60219958  0.47442519]
 [ 0.3114412  -0.77037505 -0.55635117]
 [ 0.70051979 -0.20947053  0.68219776]]"
119,"[[-0.6412079  -0.60024901  0.47807263]
 [ 0.30870856 -0.7721435  -0.55542179]
 [ 0.70253209 -0.20855567  0.68040626]]"
120,"[[-0.64054557 -0.59817732  0.48154473]
 [ 0.30585662 -0.77392235 -0.55452318]
 [ 0.7043814  -0.20791375  0.67868916]]"
121,"[[-0.63933797 -0.59648633  0.48523299]
 [ 0.30299001 -0.77542533 -0.55399697]
 [ 0.70671356 -0.20717057  0.67648835]]"
122,"[[-0.63933557 -0.59508957  0.48694805]
 [ 0.30136934 -0.77654235 -0.55331589]
 [ 0.70740831 -0.2070033   0.67581281]]"
123,"[[-0.63855319 -0.59293317  0.49059162]
 [ 0.2987803  -0.77848385 -0.55199029]
 [ 0.70921098 -0.20589608  0.67426026]]"
124,"[[-0.63701438 -0.59140632  0.49442012]
 [ 0.2957168  -0.77980729 -0.55177185]
 [ 0.71187377 -0.20527827  0.67163727]]"
125,"[[-0.636352   -0.58901436  0.49811454]
 [ 0.29276629 -0.781827   -0.55048558]
 [ 0.71368334 -0.2044714   0.66996045]]"
126,"[[-0.63559258 -0.58835339  0.49986232]
 [ 0.29134854 -0.78239027 -0.55043754]
 [ 0.71493921 -0.20421984  0.66869728]]"
127,"[[-0.63457249 -0.58608101  0.50381221]
 [ 0.2887099  -0.78444671 -0.54889883]
 [ 0.71691303 -0.2028605   0.66699554]]"
128,"[[-0.63369134 -0.5843448   0.50692846]
 [ 0.28607461 -0.78585749 -0.5482603 ]
 [ 0.71874657 -0.20240846  0.66515738]]"
129,"[[-0.63289168 -0.58210537  0.51049143]
 [ 0.28327895 -0.78772524 -0.54703017]
 [ 0.72055617 -0.20159938  0.66344302]]"
130,"[[-0.63227301 -0.5813268   0.51214258]
 [ 0.28228983 -0.78846632 -0.54647355]
 [ 0.72148689 -0.20094785  0.6626287 ]]"
131,"[[-0.63139277 -0.57950536  0.5152832 ]
 [ 0.27995695 -0.79001414 -0.54543726]
 [ 0.7231648  -0.20012806  0.66104592]]"
