Timestamp;FrameCount;Manufacturer;Name;SerialNumber;Acceleration;AngularAcceleration;AngularVelocity;Position;Rotation;Velocity;IsTracked
2023-03-01T18:49:49.019925;12;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.0005932837,0.0007980818,0.0001134307);(0.01803518,1.207604,0.1920741);(0.01957857,-0.2010562,-0.02734033,-0.9790024);(0.004033075,0.000511427,-0.002769223);True
2023-03-01T18:49:49.054169;13;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.001807383,-0.0001123797,0.0002749118);(0.016884,1.207371,0.193082);(0.0193831,-0.2010519,-0.02749112,-0.9790029);(-0.0005099836,-0.001072145,0.001313869);True
2023-03-01T18:49:49.087026;14;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.0004377836,-0.0002749716,-0.00227217);(0.01562055,1.207193,0.1940838);(0.01908149,-0.2010112,-0.02764159,-0.9790129);(-0.005626687,-0.00129233,0.004452105);True
2023-03-01T18:49:49.087026;14;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.0004377836,-0.0002749716,-0.00227217);(0.01562055,1.207193,0.1940838);(0.01908149,-0.2010112,-0.02764159,-0.9790129);(-0.005626687,-0.00129233,0.004452105);True
2023-03-01T18:49:49.120740;15;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.0006064451,-0.0002572701,0.0001155181);(0.01575067,1.207309,0.194013);(0.01903337,-0.2009719,-0.02752101,-0.9790253);(-0.003970004,-0.0001420344,0.003466063);True
2023-03-01T18:49:49.120740;15;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.0006064451,-0.0002572701,0.0001155181);(0.01575067,1.207309,0.194013);(0.01903337,-0.2009719,-0.02752101,-0.9790253);(-0.003970004,-0.0001420344,0.003466063);True
2023-03-01T18:49:49.142378;16;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.001769171,-9.833599E-05,0.0002865676);(0.01601017,1.207334,0.1938116);(0.01911062,-0.2009063,-0.02745655,-0.9790392);(-0.002314294,-0.0001049681,0.002178875);True
2023-03-01T18:49:49.175554;17;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.0001914014,-0.0002081066,0.001115499);(0.01639315,1.207371,0.1934572);(0.01906812,-0.2008598,-0.02736056,-0.9790522);(-0.0006198633,1.225871E-05,0.0006076699);True
2023-03-01T18:49:49.210540;18;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.0005015858,-0.0001963015,-0.002653867);(0.01462617,1.207012,0.1950715);(0.01875863,-0.2008393,-0.02748789,-0.9790589);(-0.006676341,-0.002065717,0.006564537);True
2023-03-01T18:49:49.210540;18;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.0005015858,-0.0001963015,-0.002653867);(0.01462617,1.207012,0.1950715);(0.01875863,-0.2008393,-0.02748789,-0.9790589);(-0.006676341,-0.002065717,0.006564537);True
2023-03-01T18:49:49.234540;19;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.004068494,0.000614956,0.0003726066);(0.01450885,1.206751,0.1951154);(0.01862968,-0.2007746,-0.02738008,-0.9790775);(-0.00661041,-0.003919911,0.005955895);True
2023-03-01T18:49:49.265544;20;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.0009850499,-0.00133063,-0.0008233854);(0.01480002,1.207013,0.1948718);(0.01872115,-0.2007667,-0.02729133,-0.97908);(-0.004613183,-0.001844093,0.004134859);True
2023-03-01T18:49:49.265544;20;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.0009850499,-0.00133063,-0.0008233854);(0.01480002,1.207013,0.1948718);(0.01872115,-0.2007667,-0.02729133,-0.97908);(-0.004613183,-0.001844093,0.004134859);True
2023-03-01T18:49:49.298542;21;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.001572532,0.001833422,-0.001828864);(0.01563439,1.207471,0.1941375);(0.01884082,-0.200616,-0.0272337,-0.9791101);(-0.0009757242,0.001927059,0.0006548849);True
2023-03-01T18:49:49.298542;21;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.001572532,0.001833422,-0.001828864);(0.01563439,1.207471,0.1941375);(0.01884082,-0.200616,-0.0272337,-0.9791101);(-0.0009757242,0.001927059,0.0006548849);True
2023-03-01T18:49:49.332540;22;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.001711178,0.0009990076,0.0003233316);(0.01696781,1.207751,0.1929018);(0.01911606,-0.200567,-0.0270657,-0.9791194);(0.004540746,0.003568001,-0.005108236);True
2023-03-01T18:49:49.365540;23;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.0005740371,-0.0002026874,0.0001716275);(0.01807557,1.207888,0.192015);(0.01921433,-0.2005004,-0.02701945,-0.9791324);(0.009638159,0.004149604,-0.008214128);True
2023-03-01T18:49:49.366539;23;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.0005740371,-0.0002026874,0.0001716275);(0.01807557,1.207888,0.192015);(0.01921433,-0.2005004,-0.02701945,-0.9791324);(0.009638159,0.004149604,-0.008214128);True
2023-03-01T18:49:49.388549;24;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.002089987,0.002110319,0.00129859);(0.01893147,1.207911,0.1911509);(0.01940836,-0.2004438,-0.02696727,-0.9791417);(0.01202856,0.003141175,-0.01159641);True
2023-03-01T18:49:49.421540;25;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.001042275,-0.003287124,0.0007768411);(0.01959959,1.207895,0.190581);(0.0194567,-0.2004772,-0.02698477,-0.9791334);(0.01436556,0.002654264,-0.01361763);True
2023-03-01T18:49:49.421540;25;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.001042275,-0.003287124,0.0007768411);(0.01959959,1.207895,0.190581);(0.0194567,-0.2004772,-0.02698477,-0.9791334);(0.01436556,0.002654264,-0.01361763);True
2023-03-01T18:49:49.454541;26;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.000632629,0.001946892,0.0001589477);(0.01993419,1.207753,0.1902502);(0.01976608,-0.2002918,-0.02680751,-0.9791701);(0.01559656,0.0009026102,-0.01529016);True
2023-03-01T18:49:49.479540;27;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.001008231,-0.002227501,0.0007747729);(0.01997143,1.207787,0.1901972);(0.01971814,-0.2004825,-0.02686566,-0.9791304);(0.01477596,0.001429751,-0.01427135);True
2023-03-01T18:49:49.480552;27;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.001008231,-0.002227501,0.0007747729);(0.01997143,1.207787,0.1901972);(0.01971814,-0.2004825,-0.02686566,-0.9791304);(0.01477596,0.001429751,-0.01427135);True
2023-03-01T18:49:49.511540;28;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.0003574206,0.001994902,-0.0002536724);(0.02016346,1.20779,0.1899775);(0.01988879,-0.2003331,-0.02681412,-0.9791589);(0.0150897,0.0009893909,-0.01506971);True
2023-03-01T18:49:49.534540;29;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(-0.0004073223,-0.001268127,0.0001975844);(0.02033959,1.207766,0.1899379);(0.01999039,-0.200518,-0.02672666,-0.9791214);(0.01561082,0.0008148071,-0.01441622);True
2023-03-01T18:49:49.567541;30;HTC;OpenVR Controller(VIVE Tracker 3.0 MV) - Right;LHR-9E483859;(0,0,0);(0,0,0);(0.002872087,2.505378E-05,-5.933126E-05);(0.02044039,1.207923,0.1899019);(0.02002151,-0.2003031,-0.02676313,-0.9791637);(0.01565772,0.002521334,-0.01384417);True
