,Matrix
61,"[[-5.15106592e-02  3.33070192e-04  9.98672294e-01]
 [ 4.30715393e-02 -9.99068724e-01  2.55479107e-03]
 [ 9.97743106e-01  4.31459560e-02  5.14481431e-02]]"
62,"[[-5.15577998e-02  3.70952873e-04  9.98670049e-01]
 [ 4.33106015e-02 -9.99058254e-01  2.60707499e-03]
 [ 9.97730523e-01  4.33874111e-02  5.14934017e-02]]"
63,"[[-5.12344838e-02  2.24137209e-04  9.98686768e-01]
 [ 4.39176788e-02 -9.99032082e-01  2.47727970e-03]
 [ 9.97720677e-01  4.39869206e-02  5.11753483e-02]]"
64,"[[-5.13025695e-02  1.18213791e-04  9.98683226e-01]
 [ 4.41010074e-02 -9.99024233e-01  2.38373584e-03]
 [ 9.97709026e-01  4.41652247e-02  5.12474578e-02]]"
65,"[[-5.11562707e-02  6.81897790e-05  9.98690681e-01]
 [ 4.41419739e-02 -9.99022553e-01  2.32931276e-03]
 [ 9.97714672e-01  4.42033359e-02  5.11033056e-02]]"
66,"[[-5.11133713e-02  1.46948179e-04  9.98692800e-01]
 [ 4.38340415e-02 -9.99035967e-01  2.39043480e-03]
 [ 9.97730378e-01  4.38989269e-02  5.10575580e-02]]"
67,"[[-5.10219665e-02  2.16057647e-04  9.98697544e-01]
 [ 4.36332203e-02 -9.99044625e-01  2.44529048e-03]
 [ 9.97743941e-01  4.37011519e-02  5.09638697e-02]]"
68,"[[-5.06434589e-02  3.24882308e-04  9.98716855e-01]
 [ 4.36930491e-02 -9.99041772e-01  2.54060323e-03]
 [ 9.97760682e-01  4.37656447e-02  5.05809690e-02]]"
69,"[[-5.05766394e-02  4.92866014e-04  9.98720065e-01]
 [ 4.37595432e-02 -9.99038419e-01  2.70907033e-03]
 [ 9.97761050e-01  4.38405493e-02  5.05064463e-02]]"
70,"[[-5.04959076e-02  4.41300571e-04  9.98724279e-01]
 [ 4.42113470e-02 -9.99018614e-01  2.67677949e-03]
 [ 9.97745326e-01  4.42901073e-02  5.04270688e-02]]"
71,"[[-5.01721491e-02  6.52477874e-04  9.98740430e-01]
 [ 4.41489631e-02 -9.99020835e-01  2.87050573e-03]
 [ 9.97764372e-01  4.42373713e-02  5.00943399e-02]]"
72,"[[-4.99296193e-02  5.88997197e-04  9.98752655e-01]
 [ 4.39870992e-02 -9.99028209e-01  2.78816597e-03]
 [ 9.97783718e-01  4.40714402e-02  4.98553797e-02]]"
73,"[[-4.96440875e-02  9.01486862e-04  9.98766619e-01]
 [ 4.36471908e-02 -9.99042287e-01  3.07123899e-03]
 [ 9.97812856e-01  4.37458238e-02  4.95573087e-02]]"
74,"[[-0.04958494  0.00115455  0.99876933]
 [ 0.04347122 -0.99904919  0.00331306]
 [ 0.99782352  0.043582    0.0494878 ]]"
75,"[[-4.93725251e-02  9.90323106e-04  9.98780108e-01]
 [ 4.35818041e-02 -9.99044912e-01  3.14496525e-03]
 [ 9.97829299e-01  4.36839068e-02  4.92825576e-02]]"
76,"[[-0.04922195  0.00115766  0.99878731]
 [ 0.04374769 -0.99903712  0.00331392]
 [ 0.99782943  0.04385775  0.04912415]]"
77,"[[-0.04886902  0.00113253  0.99880452]
 [ 0.04407814 -0.99902267  0.00328941]
 [ 0.99783208  0.04418619  0.04877126]]"
78,"[[-4.86096983e-02  9.52384955e-04  9.98817517e-01]
 [ 4.41378924e-02 -9.99020637e-01  3.10065408e-03]
 [ 9.97842265e-01  4.42364167e-02  4.85203104e-02]]"
79,"[[-4.82589455e-02  7.97579080e-04  9.98834567e-01]
 [ 4.36477750e-02 -9.99042754e-01  2.90659991e-03]
 [ 9.97880754e-01  4.37371747e-02  4.81779941e-02]]"
80,"[[-4.93282021e-02  9.89404401e-04  9.98782029e-01]
 [ 4.35223603e-02 -9.99047521e-01  3.13916033e-03]
 [ 9.97833816e-01  4.36242049e-02  4.92379381e-02]]"
81,"[[-4.88425642e-02  7.91483133e-04  9.98806196e-01]
 [ 4.33982445e-02 -9.99053603e-01  2.91389518e-03]
 [ 9.97863236e-01  4.34887567e-02  4.87620335e-02]]"
82,"[[-4.96430848e-02  5.67438876e-04  9.98766773e-01]
 [ 4.34031133e-02 -9.99053925e-01  2.72492287e-03]
 [ 9.97823411e-01  4.34848648e-02  4.95713062e-02]]"
83,"[[-4.98613562e-02  6.13850327e-04  9.98756027e-01]
 [ 4.36447270e-02 -9.99043211e-01  2.79292571e-03]
 [ 9.97802143e-01  4.37296904e-02  4.97869984e-02]]"
84,"[[-4.94299847e-02  4.69833665e-04  9.98777544e-01]
 [ 4.38109097e-02 -9.99036358e-01  2.63818153e-03]
 [ 9.97816320e-01  4.38877553e-02  4.93619017e-02]]"
85,"[[-5.00970809e-02  3.82664813e-04  9.98744344e-01]
 [ 4.39759271e-02 -9.99029237e-01  2.58861232e-03]
 [ 9.97775791e-01  4.40503876e-02  5.00317556e-02]]"
86,"[[-4.98666315e-02  3.06295153e-04  9.98755889e-01]
 [ 4.36036284e-02 -9.99045823e-01  2.48346100e-03]
 [ 9.97803660e-01  4.36732203e-02  4.98058010e-02]]"
87,"[[-5.02571566e-02  3.92579313e-04  9.98736342e-01]
 [ 4.33093656e-02 -9.99058398e-01  2.57207044e-03]
 [ 9.97796940e-01  4.33838976e-02  5.01930607e-02]]"
88,"[[-5.08660590e-02  4.70458156e-04  9.98705464e-01]
 [ 4.37767841e-02 -9.99037688e-01  2.70025773e-03]
 [ 9.97745669e-01  4.38574610e-02  5.07967065e-02]]"
89,"[[-5.06296792e-02  3.18193753e-04  9.98717329e-01]
 [ 4.34723276e-02 -9.99051448e-01  2.52211165e-03]
 [ 9.97770796e-01  4.35442656e-02  5.05675789e-02]]"
