,Unnamed: 0.1,Unnamed: 0,imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz,new_ax,new_ay,new_az
52,2915,6163,0,2023-04-06T20:09:38.617749,3989277,2135,793,-627,-1063,-566,-465,179,-3,-375,2133.8464077440335,791.7149000155533,-629.2021024462877
53,2916,6164,0,2023-04-06T20:09:38.622236,3989281,2135,793,-627,-1063,-566,-465,179,-3,-375,2134.0891648783863,792.1350955137423,-629.4415262378478
54,2917,6165,0,2023-04-06T20:09:38.627202,3989286,2135,793,-627,-1063,-566,-465,179,-3,-375,2134.3125191106597,792.5469295609213,-629.6718130415949
55,2918,6166,0,2023-04-06T20:09:38.632488,3989291,2137,796,-628,-1061,-570,-468,179,-3,-375,2134.487538577632,792.9207243747854,-629.8832617066693
56,2919,6167,0,2023-04-06T20:09:38.637617,3989297,2137,796,-628,-1061,-570,-468,179,-3,-375,2134.594542175739,793.2359374255983,-630.0569945387384
57,2920,6168,0,2023-04-06T20:09:38.642151,3989301,2137,796,-628,-1061,-570,-468,179,-3,-375,2134.6255367028184,793.4837252646781,-630.1658629640019
58,2921,6169,0,2023-04-06T20:09:38.647509,3989306,2137,796,-628,-1061,-570,-468,179,-3,-375,2134.5847608676545,793.6673960036886,-630.1775730572311
59,2922,6170,0,2023-04-06T20:09:38.652108,3989311,2133,792,-634,-1071,-560,-477,179,-3,-375,2134.487027876881,793.800415056924,-630.0598549676716
60,2923,6171,0,2023-04-06T20:09:38.657188,3989316,2133,792,-634,-1071,-560,-477,179,-3,-375,2134.3540902480286,793.9023113403734,-629.787099717191
61,2924,6172,0,2023-04-06T20:09:38.661825,3989321,2133,792,-634,-1071,-560,-477,179,-3,-375,2134.2099117965417,793.9935787452908,-629.3470154480613
62,2925,6173,0,2023-04-06T20:09:38.666246,3989325,2133,792,-634,-1071,-560,-477,179,-3,-375,2134.0760265503295,794.0909840197075,-628.745271679545
63,2926,6174,0,2023-04-06T20:09:38.670918,3989329,2132,793,-626,-1069,-567,-472,179,-3,-375,2133.9678305284892,794.2043300418513,-628.0065530856753
64,2927,6175,0,2023-04-06T20:09:38.675903,3989335,2132,793,-626,-1069,-567,-472,179,-3,-375,2133.8921499223993,794.3350629415906,-627.1717720972217
65,2928,6176,0,2023-04-06T20:09:38.680465,3989340,2132,793,-626,-1069,-567,-472,179,-3,-375,2133.8462615576987,794.4766549953606,-626.292650191375
66,2929,6177,0,2023-04-06T20:09:38.685555,3989345,2132,793,-626,-1069,-567,-472,179,-3,-375,2133.818577037914,794.6165632522806,-625.4254773138247
67,2930,6178,0,2023-04-06T20:09:38.690051,3989349,2136,798,-622,-1070,-573,-464,169,5,-371,2133.7910858236473,794.7395756719586,-624.6252015494204
68,2931,6179,0,2023-04-06T20:09:38.694910,3989354,2136,798,-622,-1070,-573,-464,169,5,-371,2133.7432184123863,794.8321106488806,-623.9401389924678
69,2932,6180,0,2023-04-06T20:09:38.699455,3989358,2136,798,-622,-1070,-573,-464,169,5,-371,2133.656157337849,794.8864008009045,-623.4075417954131
70,2933,6181,0,2023-04-06T20:09:38.704627,3989363,2136,798,-622,-1070,-573,-464,169,5,-371,2133.516290535334,794.903097170002,-623.0505145361208
71,2934,6182,0,2023-04-06T20:09:38.709391,3989368,2132,793,-622,-1067,-566,-470,169,5,-371,2133.316861070666,794.8912768884122,-622.8765615915704
72,2935,6183,0,2023-04-06T20:09:38.714401,3989373,2132,793,-622,-1067,-566,-470,169,5,-371,2133.057715270622,794.8659096557848,-622.8776235254885
