imu,server_time,arduino_time,ax,ay,az,gx,gy,gz,mx,my,mz
0,2023-03-01T18:52:24.595987,1734120,1313,1838,22,-1307,-607,-394,-24,148,-192
0,2023-03-01T18:52:24.602140,1734126,1313,1838,22,-1307,-607,-394,-24,148,-192
0,2023-03-01T18:52:24.607138,1734131,1313,1838,22,-1307,-607,-394,-24,148,-192
0,2023-03-01T18:52:24.612193,1734136,1309,1839,26,-1297,-598,-396,-24,148,-192
0,2023-03-01T18:52:24.617570,1734141,1309,1839,26,-1297,-598,-396,-24,148,-192
0,2023-03-01T18:52:24.623509,1734148,1309,1839,26,-1297,-598,-396,-24,148,-192
0,2023-03-01T18:52:24.628372,1734153,1311,1837,33,-1287,-601,-387,-24,148,-192
0,2023-03-01T18:52:24.633971,1734158,1311,1837,33,-1287,-601,-387,-24,148,-192
0,2023-03-01T18:52:24.638565,1734163,1311,1837,33,-1287,-601,-387,-24,148,-192
0,2023-03-01T18:52:24.644216,1734169,1311,1837,33,-1287,-601,-387,-24,148,-192
0,2023-03-01T18:52:24.648791,1734173,1311,1836,25,-1279,-592,-396,-24,148,-192
0,2023-03-01T18:52:24.655177,1734179,1311,1836,25,-1279,-592,-396,-24,148,-192
0,2023-03-01T18:52:24.661064,1734185,1311,1836,25,-1279,-592,-396,-24,148,-192
0,2023-03-01T18:52:24.667178,1734192,1311,1836,25,-1279,-592,-396,-24,148,-192
0,2023-03-01T18:52:24.672097,1734197,1310,1834,28,-1280,-598,-390,-24,148,-192
0,2023-03-01T18:52:24.677575,1734202,1310,1834,28,-1280,-598,-390,-24,148,-192
0,2023-03-01T18:52:24.683481,1734208,1310,1834,28,-1280,-598,-390,-24,148,-192
0,2023-03-01T18:52:24.688402,1734213,1308,1836,30,-1284,-594,-384,-22,138,-184
0,2023-03-01T18:52:24.693924,1734218,1308,1836,30,-1284,-594,-384,-22,138,-184
0,2023-03-01T18:52:24.698547,1734223,1308,1836,30,-1284,-594,-384,-22,138,-184
0,2023-03-01T18:52:24.704460,1734230,1308,1836,30,-1284,-594,-384,-22,138,-184
0,2023-03-01T18:52:24.709510,1734234,1308,1836,37,-1282,-598,-389,-22,138,-184
0,2023-03-01T18:52:24.715292,1734240,1308,1836,37,-1282,-598,-389,-22,138,-184
0,2023-03-01T18:52:24.719828,1734245,1308,1836,37,-1282,-598,-389,-22,138,-184
0,2023-03-01T18:52:24.724916,1734249,1308,1836,37,-1282,-598,-389,-22,138,-184
0,2023-03-01T18:52:24.729980,1734254,1310,1836,34,-1293,-604,-393,-22,138,-184
0,2023-03-01T18:52:24.735325,1734260,1310,1836,34,-1293,-604,-393,-22,138,-184
0,2023-03-01T18:52:24.740808,1734265,1310,1836,34,-1293,-604,-393,-22,138,-184
0,2023-03-01T18:52:24.746637,1734272,1310,1836,34,-1293,-604,-393,-22,138,-184
0,2023-03-01T18:52:24.751280,1734276,1309,1835,30,-1281,-590,-388,-22,138,-184
0,2023-03-01T18:52:24.756506,1734281,1309,1835,30,-1281,-590,-388,-22,138,-184
0,2023-03-01T18:52:24.761528,1734286,1309,1835,30,-1281,-590,-388,-22,138,-184
0,2023-03-01T18:52:24.766383,1734291,1309,1835,30,-1281,-590,-388,-22,138,-184
0,2023-03-01T18:52:24.771683,1734296,1309,1835,38,-1285,-602,-386,-22,138,-184
0,2023-03-01T18:52:24.777220,1734301,1309,1835,38,-1285,-602,-386,-22,138,-184
0,2023-03-01T18:52:24.783261,1734307,1309,1835,38,-1285,-602,-386,-22,138,-184
0,2023-03-01T18:52:24.788017,1734312,1309,1835,33,-1280,-600,-379,-22,138,-184
0,2023-03-01T18:52:24.793444,1734318,1309,1835,33,-1280,-600,-379,-22,138,-184
0,2023-03-01T18:52:24.798630,1734323,1309,1835,33,-1280,-600,-379,-22,138,-184
0,2023-03-01T18:52:24.805009,1734330,1309,1835,33,-1280,-600,-379,-22,138,-184
0,2023-03-01T18:52:24.809850,1734334,1310,1836,31,-1280,-596,-386,-22,138,-184
0,2023-03-01T18:52:24.815133,1734339,1310,1836,31,-1280,-596,-386,-22,138,-184
0,2023-03-01T18:52:24.821494,1734346,1310,1836,31,-1280,-596,-386,-22,138,-184
0,2023-03-01T18:52:24.826556,1734350,1310,1836,31,-1280,-596,-386,-22,138,-184
0,2023-03-01T18:52:24.831847,1734356,1309,1839,40,-1278,-591,-388,-26,152,-194
0,2023-03-01T18:52:24.838187,1734363,1309,1839,40,-1278,-591,-388,-26,152,-194
0,2023-03-01T18:52:24.843825,1734369,1309,1839,40,-1278,-591,-388,-26,152,-194
0,2023-03-01T18:52:24.848601,1734373,1306,1831,39,-1286,-597,-394,-26,152,-194
0,2023-03-01T18:52:24.853336,1734378,1306,1831,39,-1286,-597,-394,-26,152,-194
0,2023-03-01T18:52:24.858056,1734383,1306,1831,39,-1286,-597,-394,-26,152,-194
0,2023-03-01T18:52:24.863654,1734388,1306,1831,39,-1286,-597,-394,-26,152,-194
0,2023-03-01T18:52:24.868450,1734393,1309,1836,40,-1287,-598,-393,-26,152,-194
0,2023-03-01T18:52:24.873817,1734398,1309,1836,40,-1287,-598,-393,-26,152,-194
0,2023-03-01T18:52:24.878694,1734403,1309,1836,40,-1287,-598,-393,-26,152,-194
0,2023-03-01T18:52:24.884812,1734410,1309,1836,40,-1287,-598,-393,-26,152,-194
0,2023-03-01T18:52:24.889625,1734414,1305,1834,43,-1283,-592,-393,-26,152,-194
0,2023-03-01T18:52:24.894743,1734419,1305,1834,43,-1283,-592,-393,-26,152,-194
0,2023-03-01T18:52:24.899575,1734424,1305,1834,43,-1283,-592,-393,-26,152,-194
0,2023-03-01T18:52:24.905086,1734429,1305,1834,43,-1283,-592,-393,-26,152,-194
0,2023-03-01T18:52:24.910011,1734434,1304,1835,41,-1278,-592,-401,-26,152,-194
0,2023-03-01T18:52:24.915497,1734439,1304,1835,41,-1278,-592,-401,-26,152,-194
0,2023-03-01T18:52:24.920518,1734445,1304,1835,41,-1278,-592,-401,-26,152,-194
0,2023-03-01T18:52:24.925988,1734451,1304,1835,41,-1278,-592,-401,-26,152,-194
0,2023-03-01T18:52:24.930661,1734455,1303,1834,39,-1286,-599,-396,-26,152,-194
0,2023-03-01T18:52:24.935928,1734461,1303,1834,39,-1286,-599,-396,-26,152,-194
0,2023-03-01T18:52:24.941895,1734466,1303,1834,39,-1286,-599,-396,-26,152,-194
0,2023-03-01T18:52:24.946916,1734471,1303,1834,39,-1286,-599,-396,-26,152,-194
0,2023-03-01T18:52:24.951383,1734476,1303,1832,43,-1277,-599,-394,-21,147,-185
0,2023-03-01T18:52:24.957002,1734481,1303,1832,43,-1277,-599,-394,-21,147,-185
0,2023-03-01T18:52:24.963005,1734488,1303,1832,43,-1277,-599,-394,-21,147,-185
0,2023-03-01T18:52:24.968023,1734493,1306,1836,40,-1284,-601,-383,-21,147,-185
0,2023-03-01T18:52:24.973741,1734498,1306,1836,40,-1284,-601,-383,-21,147,-185
0,2023-03-01T18:52:24.978310,1734503,1306,1836,40,-1284,-601,-383,-21,147,-185
0,2023-03-01T18:52:24.984379,1734509,1306,1836,40,-1284,-601,-383,-21,147,-185
0,2023-03-01T18:52:24.988952,1734513,1307,1840,53,-1273,-607,-394,-21,147,-185
0,2023-03-01T18:52:24.994485,1734519,1307,1840,53,-1273,-607,-394,-21,147,-185
